web-scraper-start-url,news_link,news_link-href,title,author,date
"http://www.cnn.com/politics","Ivanka Trump slams Moore: 'There's a special place in hell for people who prey on children'","http://www.cnn.com/2017/11/15/politics/ivanka-trump-roy-moore/index.html","Ivanka Trump slams Roy Moore: 'There's a special place in hell for people who prey on children'","By Betsy Klein, CNN","Updated 12:49 PM ET, Thu November 16, 2017"
"http://www.cnn.com/politics","Ivanka Trump sets for trip to India","http://www.cnn.com/2017/11/21/politics/ivanka-trump-india/index.html","Ivanka Trump sets for trip to India","By Betsy Klein, CNN","Updated 3:37 PM ET, Tue November 21, 2017"
"http://www.cnn.com/politics","The White House wants Moore's vote, but doesn't want to talk about Moore","http://www.cnn.com/2017/11/20/politics/white-house-reversal-roy-moore-alabama-senate/index.html","The White House wants Roy Moore's vote, but doesn't want to talk about Moore","By Eric Bradner, CNN","Updated 2:41 AM ET, Tue November 21, 2017"
"http://www.cnn.com/politics","Trump calls LaVar Ball an 'ungrateful fool'","http://www.cnn.com/2017/11/22/politics/trump-lavar-ball-tweets/index.html","Trump calls LaVar Ball an 'ungrateful fool'","By Maegan Vazquez, CNN","Updated 1:49 PM ET, Wed November 22, 2017"
"http://www.cnn.com/politics","By the numbers: The Trump orbit's contacts with Russians","http://www.cnn.com/2017/11/21/politics/trump-russia-by-the-numbers/index.html","By the numbers: The Trump orbit's contacts with Russians","By Marshall Cohen, CNN","Updated 2:08 PM ET, Wed November 22, 2017"
"http://www.cnn.com/politics","Mueller interviews with senior White House officials coming up","http://www.cnn.com/2017/11/20/politics/mueller-interviews-white-house-officials/index.html","Mueller interviews with senior White House officials coming up","By Marshall Cohen, CNN","Updated 8:55 AM ET, Mon November 20, 2017"
"http://www.cnn.com/politics","Kushner's attorney accuses Senate panel of 'gotcha game' over documents request","http://www.cnn.com/2017/11/19/politics/abbe-lowell-kushner-gotcha-games/index.html","Kushner's attorney accuses Senate panel of 'gotcha game' over documents request","By Evan Perez and Maegan Vazquez, CNN","Updated 11:08 AM ET, Mon November 20, 2017"
"http://www.cnn.com/politics","13 reasons why President Trump is thankful","http://www.cnn.com/2017/11/22/politics/things-president-trump-is-thankful-for/index.html","13 reasons why President Trump is thankful","By Brenna Williams, CNN","Updated 11:10 AM ET, Wed November 22, 2017"
"http://www.cnn.com/politics","50 things Trump tweeted about instead of Roy Moore","http://www.cnn.com/2017/11/22/politics/donald-trump-tweets-roy-moore/index.html","50 things Trump tweeted about instead of Roy Moore","Analysis by Gregory Krieg, CNN","Updated 2:46 PM ET, Wed November 22, 2017"
"http://www.cnn.com/politics","Winging it in the West Wing: history of the White House turkey pardon","http://www.cnn.com/2015/11/24/politics/history-of-the-white-house-turkey-pardon/index.html","Winging it in the West Wing","By Brenna Williams, CNN","Updated 3:02 PM ET, Wed November 25, 2015"
"http://www.cnn.com/politics","Trump chooses his own version of reality to back Moore","http://www.cnn.com/2017/11/22/politics/trump-convenient-truth-roy-moore/index.html","Trump chooses his own version of reality to back Moore","Analysis by Stephen Collinson, CNN","Updated 5:30 AM ET, Wed November 22, 2017"
"http://www.cnn.com/politics","Analysis: Trump's LaVar Ball tweets cross a line — even for him","http://www.cnn.com/2017/11/22/politics/donald-trump-lavar-ball/index.html","Donald Trump's LaVar Ball tweets cross a line — even for him","Analysis by Chris Cillizza, CNN Editor-at-large","Updated 11:33 AM ET, Wed November 22, 2017"
"http://www.cnn.com/politics","Trump administration slaps more sanctions on North Korea","http://money.cnn.com/2017/11/21/news/economy/treasury-north-korea-sanctions/index.html","null","null","null"
