site_url,stumble_upon,pinterest,linkedin,fb_total,fb_comments,fb_reactions,fb_shares
100percentfedup.com,0,0,83,746,10,34,702
abcnews.com.co,0,0,2,0,0,0,0
abovetopsecret.com,0,0,31,0,0,0,0
activistpost.com,76,0,136,105,33,17,55
allnewspipeline.com,0,0,12,1412,105,241,1066
americannews.com,0,0,39,0,0,0,0
americasfreedomfighters.com,0,0,18,479,9,54,416
amren.com,2,0,3,463,233,42,188
anonhq.com,0,0,21,14823,1381,4705,8737
antiwar.com,7,0,1055,162,29,40,93
barenakedislam.com,0,0,244,5,3,1,1
beforeitsnews.com,0,0,83,6,1,1,4
bipartisanreport.com,0,0,13,1899,196,1559,144
blacklistednews.com,0,0,1732,0,0,0,0
breitbart.com,0,0,112,12,5,1,6
collective-evolution.com,0,0,94,11796,1663,2751,7382
conservativetribune.com,0,0,226,1170,89,587,494
counterpunch.org,1,0,138,648,151,197,300
dailystormer.com,1,0,22,6391,2994,2010,1387
dailywire.com,0,0,53,58300,19433,35094,3773
davidstockmanscontracorner.com,0,0,33,603,110,127,366
dcclothesline.com,0,0,20,1,0,0,1
der-postillon.com,0,0,17,1,0,0,1
educateinspirechange.org,0,0,12,8,1,6,1
elmundotoday.com,0,0,3,1,0,0,1
freedomoutpost.com,0,0,80,23,2,4,17
frontpagemag.com,0,0,21,12,0,1,11
globalresearch.ca,53,0,293,261,28,82,151
godlikeproductions.com,0,0,12,7832,2341,774,4717
gomerblog.com,0,0,10,7,3,1,3
guardianlv.com,0,0,121,1485,266,421,798
healthimpactnews.com,0,0,28,384,20,94,270
humansarefree.com,0,0,18,1,0,0,1
ifyouonlynews.com,0,0,1,0,0,0,0
ihavethetruth.com,0,0,2,348,51,40,257
informationclearinghouse.info,0,0,110,0,0,0,0
infowars.com,1,0,489,21882,3324,5997,12561
investmentwatchblog.com,0,0,38,19,0,4,15
jewsnews.co.il,0,0,81,7795,867,2547,4381
journal-neo.org,0,0,7,55,9,6,40
kingworldnews.com,0,0,0,11,0,0,11
lewrockwell.com,2,0,192,2130,646,523,961
liberalamerica.org,0,0,15,0,0,0,0
madworldnews.com,0,0,6,2313,180,254,1879
mintpressnews.com,0,0,31,23,7,7,9
morningnewsusa.com,0,0,4,11,0,0,11
nakedcapitalism.com,0,0,56,64,13,27,24
naturalnews.com,1,0,0,2004,312,466,1226
newstarget.com,0,0,8,40,5,10,25
newsthump.com,0,0,21,3144,566,1434,1144
nutritionfacts.org,0,0,422,13693,4244,4165,5284
occupydemocrats.com,0,0,66,37742,1747,24149,11846
opednews.com,1,0,54,209,21,80,108
paulcraigroberts.org,51,0,174,83,13,11,59
politicususa.com,0,0,136,4,0,0,4
presstv.com,0,0,83,0,0,0,0
prisonplanet.com,1,0,214,523,187,137,199
rbth.com,0,0,0,2486,114,1399,971
realfarmacy.com,0,1,56,12344,1644,2495,8205
redflagnews.com,0,0,359,1087,65,167,855
reductress.com,0,0,23,20898,4326,12582,3990
rense.com,0,0,153,3,0,0,3
returnofkings.com,0,0,2,0,0,0,0
rt.com,7,0,1038,178921,24719,11083,143119
russia-insider.com,0,0,25,35,25,6,4
shtfplan.com,1,0,74,27,3,5,19
silverdoctors.com,0,0,60,38,17,16,5
southfront.org,0,0,2,1404,201,721,482
survivopedia.com,0,0,6,54,0,2,52
theantimedia.org,0,0,15,0,0,0,0
thecommonsenseshow.com,0,0,75,8826,1232,1793,5801
thedailysheeple.com,0,0,14,0,0,0,0
thedailywtf.com,0,0,69,8,0,0,8
theeconomiccollapseblog.com,0,0,134,0,0,0,0
theeventchronicle.com,0,0,6,1810,283,468,1059
thefederalistpapers.org,0,0,24,21,0,3,18
thefreethoughtproject.com,0,0,53,1,0,0,1
thenewamerican.com,0,0,44,574,105,154,315
theonion.com,63,0,423,1202,98,246,858
thepoke.co.uk,0,0,1,56,2,5,49
theunrealtimes.com,0,0,19,0,0,0,0
toprightnews.com,0,0,5,0,0,0,0
trueactivist.com,0,0,48,6,4,1,1
truthdig.com,5,0,122,645,11,34,600
twitchy.com,0,14,267,547,59,55,433
unz.com,0,0,3,784,144,196,444
usuncut.com,0,0,66,1001,311,282,408
vdare.com,18,0,4,2450,315,835,1300
veteranstoday.com,0,0,43,184,29,107,48
vigilantcitizen.com,136,0,61,321,101,63,157
voltairenet.org,0,0,68,21237,2284,5005,13948
wakingtimes.com,0,0,54,0,0,0,0
washingtonsblog.com,0,0,56,0,0,0,0
waterfordwhispersnews.com,0,0,0,0,0,0,0
whatreallyhappened.com,0,0,374,1,0,0,1
whydontyoutrythis.com,0,0,15,1,0,0,1
wikileaks.org,13,0,562,52735,11294,22931,18509
winningdemocrats.com,0,0,0,0,0,0,0
wnd.com,0,0,626,53823,12484,12157,29182
worldtruth.tv,0,0,35,871,19,88,764
yournewswire.com,0,0,42,0,0,0,0
zerohedge.com,0,0,538,10,5,0,5
nytimes.com,18,0,14715,2492946,163635,1975352,353959
foxnews.com,0,0,5131,1087728,125278,723386,239064
cnn.com,0,0,1087,3231057,836314,1414690,980052
